# Block registry dump
# Minecraft: 1.20.1
# Entries: 14254
# Generated: 2026-02-05T20:54:22.2041666-03:00

actuallyadditions:lamp_black 9691
actuallyadditions:lamp_blue 9687
actuallyadditions:lamp_brown 9688
actuallyadditions:lamp_controller 9637
actuallyadditions:lamp_cyan 9685
actuallyadditions:lamp_gray 9683
actuallyadditions:lamp_green 9689
actuallyadditions:lamp_light_blue 9679
actuallyadditions:lamp_light_gray 9684
actuallyadditions:lamp_lime 9681
actuallyadditions:lamp_magenta 9678
actuallyadditions:lamp_orange 9677
actuallyadditions:lamp_pink 9682
actuallyadditions:lamp_purple 9686
actuallyadditions:lamp_red 9690
actuallyadditions:lamp_white 9676
actuallyadditions:lamp_yellow 9680
actuallyadditions:laser_relay 9708
actuallyadditions:laser_relay_advanced 9709
actuallyadditions:laser_relay_extreme 9710
actuallyadditions:laser_relay_fluids 9711
actuallyadditions:laser_relay_item 9712
actuallyadditions:laser_relay_item_advanced 9713
actuallyadditions:lava_factory_casing 9630
actuallyadditions:lava_factory_controller 9636
actuallyadditions:leaf_generator 9642
actuallyadditions:long_range_breaker 9654
actuallyadditions:oil_generator 9640
actuallyadditions:palis_crystal_block 9660
actuallyadditions:palis_crystal_cluster 9672
actuallyadditions:phantom_booster 9703
actuallyadditions:phantom_breaker 9702
actuallyadditions:phantom_energyface 9700
actuallyadditions:phantom_itemface 9697
actuallyadditions:phantom_liquiface 9699
actuallyadditions:phantom_placer 9698
actuallyadditions:phantom_redstoneface 9701
actuallyadditions:placer 9645
actuallyadditions:player_interface 9694
actuallyadditions:powered_furnace 9656
actuallyadditions:ranged_collector 9653
actuallyadditions:refined_canola_oil 9750
actuallyadditions:restonia_crystal_block 9659
actuallyadditions:restonia_crystal_cluster 9671
actuallyadditions:rice 9745
actuallyadditions:shock_suppressor 9706
actuallyadditions:smooth_black_quartz_block 9720
actuallyadditions:smooth_black_quartz_slab 9734
actuallyadditions:smooth_black_quartz_stair 9741
actuallyadditions:smooth_black_quartz_wall 9726
actuallyadditions:tiny_torch 9743
actuallyadditions:vertical_digger 9651
actuallyadditions:void_crystal_block 9662
actuallyadditions:void_crystal_cluster 9674
actuallyadditions:wood_casing 9627
actuallyadditions:xp_solidifier 9643
advanced_ae:adv_pattern_provider 14025
advanced_ae:data_entangler 14021
advanced_ae:quantum_accelerator 14022
advanced_ae:quantum_alloy_block 14013
advanced_ae:quantum_alloy_slab 14016
advanced_ae:quantum_alloy_stairs 14014
advanced_ae:quantum_alloy_wall 14015
advanced_ae:quantum_core 14018
advanced_ae:quantum_crafter 14028
advanced_ae:quantum_infusion_block 14029
advanced_ae:quantum_multi_threader 14023
advanced_ae:quantum_storage_128 14019
advanced_ae:quantum_storage_256 14020
advanced_ae:quantum_structure 14024
advanced_ae:quantum_unit 14017
advanced_ae:reaction_chamber 14027
advanced_ae:small_adv_pattern_provider 14026
ae2:16k_crafting_storage 13716
ae2:1k_crafting_storage 13714
ae2:256k_crafting_storage 13718
ae2:4k_crafting_storage 13715
ae2:64k_crafting_storage 13717
ae2:cable_bus 13746
ae2:cell_workbench 13702
ae2:charger 13692
ae2:chest 13700
ae2:chipped_budding_quartz 13664
ae2:chiseled_quartz_block 13676
ae2:chiseled_quartz_slab 13756
ae2:chiseled_quartz_stairs 13733
ae2:chiseled_quartz_wall 13744
ae2:condenser 13704
ae2:controller 13698
ae2:crafting_accelerator 13713
ae2:crafting_monitor 13719
ae2:crafting_unit 13712
ae2:crank 13764
ae2:creative_energy_cell 13711
ae2:crystal_resonance_generator 13706
ae2:cut_quartz_block 13672
ae2:cut_quartz_slab 13753
ae2:cut_quartz_stairs 13730
ae2:cut_quartz_wall 13741
ae2:damaged_budding_quartz 13665
ae2:debug_chunk_loader 13760
ae2:debug_cube_gen 13762
ae2:debug_energy_gen 13763
ae2:debug_item_gen 13759
ae2:debug_phantom_node 13761
ae2:dense_energy_cell 13710
ae2:drive 13699
ae2:energy_acceptor 13705
ae2:energy_cell 13709
ae2:flawed_budding_quartz 13663
ae2:flawless_budding_quartz 13662
ae2:fluix_block 13680
ae2:fluix_slab 13751
ae2:fluix_stairs 13728
ae2:fluix_wall 13739
ae2:growth_accelerator 13708
ae2:inscriber 13690
ae2:interface 13701
ae2:io_port 13703
ae2:large_quartz_bud 13668
ae2:light_detector 13722
ae2:matrix_frame 13670
ae2:medium_quartz_bud 13667
ae2:molecular_assembler 13721
ae2:mysterious_cube 13688
ae2:not_so_mysterious_cube 13689
ae2:paint 13723
ae2:pattern_provider 13720
ae2:quantum_link 13695
ae2:quantum_ring 13694
ae2:quartz_block 13671
ae2:quartz_brick_slab 13755
ae2:quartz_brick_stairs 13732
ae2:quartz_brick_wall 13743
ae2:quartz_bricks 13674
ae2:quartz_cluster 13669
ae2:quartz_fixture 13679
ae2:quartz_glass 13677
ae2:quartz_pillar 13675
ae2:quartz_pillar_slab 13757
ae2:quartz_pillar_stairs 13734
ae2:quartz_pillar_wall 13745
ae2:quartz_slab 13752
ae2:quartz_stairs 13729
ae2:quartz_vibrant_glass 13678
ae2:quartz_wall 13740
ae2:sky_stone_block 13681
ae2:sky_stone_brick 13683
ae2:sky_stone_brick_slab 13749
ae2:sky_stone_brick_stairs 13726
ae2:sky_stone_brick_wall 13737
ae2:sky_stone_chest 13685
ae2:sky_stone_slab 13747
ae2:sky_stone_small_brick 13684
ae2:sky_stone_small_brick_slab 13750
ae2:sky_stone_small_brick_stairs 13727
ae2:sky_stone_small_brick_wall 13738
ae2:sky_stone_stairs 13724
ae2:sky_stone_tank 13687
ae2:sky_stone_wall 13735
ae2:small_quartz_bud 13666
ae2:smooth_quartz_block 13673
ae2:smooth_quartz_slab 13754
ae2:smooth_quartz_stairs 13731
ae2:smooth_quartz_wall 13742
ae2:smooth_sky_stone_block 13682
ae2:smooth_sky_stone_chest 13686
ae2:smooth_sky_stone_slab 13748
ae2:smooth_sky_stone_stairs 13725
ae2:smooth_sky_stone_wall 13736
ae2:spatial_anchor 13758
ae2:spatial_io_port 13697
ae2:spatial_pylon 13696
ae2:tiny_tnt 13693
ae2:vibration_chamber 13707
ae2:wireless_access_point 13691
alltheores:aluminum_block 8463
alltheores:aluminum_ore 8461
alltheores:brass_block 8518
alltheores:bronze_block 8513
alltheores:constantan_block 8517
alltheores:deepslate_aluminum_ore 8460
alltheores:deepslate_iridium_ore 8505
alltheores:deepslate_lead_ore 8465
alltheores:deepslate_nickel_ore 8470
alltheores:deepslate_osmium_ore 8475
alltheores:deepslate_peridot_ore 8551
alltheores:deepslate_platinum_ore 8480
alltheores:deepslate_ruby_ore 8548
alltheores:deepslate_sapphire_ore 8554
alltheores:deepslate_silver_ore 8485
alltheores:deepslate_tin_ore 8490
alltheores:deepslate_uranium_ore 8495
alltheores:deepslate_zinc_ore 8500
alltheores:electrum_block 8512
alltheores:end_aluminum_ore 8529
alltheores:end_iridium_ore 8530
alltheores:end_lead_ore 8531
alltheores:end_nickel_ore 8532
alltheores:end_osmium_ore 8533
alltheores:end_platinum_ore 8534
alltheores:end_silver_ore 8535
alltheores:end_tin_ore 8536
alltheores:end_uranium_ore 8537
alltheores:end_zinc_ore 8538
alltheores:enderium_block 8514
alltheores:invar_block 8511
alltheores:iridium_block 8508
alltheores:iridium_ore 8506
alltheores:lead_block 8468
alltheores:lead_ore 8466
alltheores:lumium_block 8515
alltheores:nether_aluminum_ore 8519
alltheores:nether_iridium_ore 8520
alltheores:nether_lead_ore 8521
alltheores:nether_nickel_ore 8522
alltheores:nether_osmium_ore 8523
alltheores:nether_platinum_ore 8524
alltheores:nether_silver_ore 8525
alltheores:nether_tin_ore 8526
alltheores:nether_uranium_ore 8527
alltheores:nether_zinc_ore 8528
alltheores:nickel_block 8473
alltheores:nickel_ore 8471
alltheores:osmium_block 8478
alltheores:osmium_ore 8476
alltheores:other_aluminum_ore 8462
alltheores:other_coal_ore 8539
alltheores:other_copper_ore 8540
alltheores:other_diamond_ore 8546
alltheores:other_emerald_ore 8541
alltheores:other_gold_ore 8543
alltheores:other_iridium_ore 8507
alltheores:other_iron_ore 8542
alltheores:other_lapis_ore 8547
alltheores:other_lead_ore 8467
alltheores:other_nickel_ore 8472
alltheores:other_osmium_ore 8477
alltheores:other_platinum_ore 8482
alltheores:other_quartz_ore 8544
alltheores:other_redstone_ore 8545
alltheores:other_silver_ore 8487
alltheores:other_tin_ore 8492
alltheores:other_uranium_ore 8497
alltheores:other_zinc_ore 8502
alltheores:peridot_block 8553
alltheores:peridot_ore 8552
alltheores:platinum_block 8483
alltheores:platinum_ore 8481
alltheores:raw_aluminum_block 8464
alltheores:raw_iridium_block 8509
alltheores:raw_lead_block 8469
alltheores:raw_nickel_block 8474
alltheores:raw_osmium_block 8479
alltheores:raw_platinum_block 8484
alltheores:raw_silver_block 8489
alltheores:raw_tin_block 8494
alltheores:raw_uranium_block 8499
alltheores:raw_zinc_block 8504
alltheores:ruby_block 8550
alltheores:ruby_ore 8549
alltheores:sapphire_block 8556
alltheores:sapphire_ore 8555
alltheores:signalum_block 8516
alltheores:silver_block 8488
alltheores:silver_ore 8486
alltheores:steel_block 8510
alltheores:tin_block 8493
alltheores:tin_ore 8491
alltheores:uranium_block 8498
alltheores:uranium_ore 8496
alltheores:zinc_block 8503
alltheores:zinc_ore 8501
apotheosis:augmenting_table 1426
apotheosis:beeshelf 1392
apotheosis:blazing_hellshelf 1393
apotheosis:boss_spawner 1421
apotheosis:crystal_seashelf 1394
apotheosis:deepshelf 1395
apotheosis:dormant_deepshelf 1396
apotheosis:draconic_endshelf 1397
apotheosis:echoing_deepshelf 1398
apotheosis:echoing_sculkshelf 1399
apotheosis:ender_library 1400
apotheosis:endshelf 1401
apotheosis:filtering_shelf 1419
apotheosis:gem_cutting_table 1425
apotheosis:glowing_hellshelf 1402
apotheosis:heart_seashelf 1403
apotheosis:hellshelf 1404
apotheosis:infused_hellshelf 1405
apotheosis:infused_seashelf 1406
apotheosis:library 1407
apotheosis:melonshelf 1408
apotheosis:pearl_endshelf 1409
apotheosis:rectifier 1410
apotheosis:rectifier_t2 1411
apotheosis:rectifier_t3 1412
apotheosis:reforging_table 1423
apotheosis:salvaging_table 1424
apotheosis:seashelf 1413
apotheosis:sightshelf 1414
apotheosis:sightshelf_t2 1415
apotheosis:simple_reforging_table 1422
apotheosis:soul_touched_deepshelf 1416
apotheosis:soul_touched_sculkshelf 1417
apotheosis:stoneshelf 1418
apotheosis:treasure_shelf 1420
appbot:fluix_mana_pool 14053
astages:limit_movement 13328
biomancy:acid_cauldron 10048
biomancy:acid_fluid_block 10040
biomancy:adult_permeable_membrane 10030
biomancy:adult_permeable_membrane_pane 10031
biomancy:baby_permeable_membrane 10028
biomancy:baby_permeable_membrane_pane 10029
biomancy:bio_forge 9976
biomancy:bio_lab 9978
biomancy:bio_lantern_blue 10039
biomancy:bio_lantern_yellow 10038
biomancy:biometric_membrane 10036
biomancy:bloomlight 10021
biomancy:chiseled_flesh 10000
biomancy:chrysalis 9985
biomancy:decomposer 9977
biomancy:digester 9979
biomancy:fibrous_flesh 9994
biomancy:fibrous_flesh_slab 9997
biomancy:fibrous_flesh_stairs 9995
biomancy:fibrous_flesh_wall 9996
biomancy:flesh 9986
biomancy:flesh_door 10045
biomancy:flesh_fence 10042
biomancy:flesh_fence_gate 10043
biomancy:flesh_iris_door 10044
biomancy:flesh_ladder 10041
biomancy:flesh_pillar 9999
biomancy:flesh_slab 9989
biomancy:flesh_spike 10024
biomancy:flesh_stairs 9987
biomancy:flesh_wall 9988
biomancy:fleshkin_chest 9983
biomancy:fleshkin_pressure_plate 9984
biomancy:full_flesh_door 10046
biomancy:impermeable_membrane 10026
biomancy:impermeable_membrane_pane 10027
biomancy:malignant_flesh 10015
biomancy:malignant_flesh_slab 10017
biomancy:malignant_flesh_stairs 10016
biomancy:malignant_flesh_veins 10019
biomancy:malignant_flesh_wall 10018
biomancy:maw_hopper 9982
biomancy:modular_larynx 10023
biomancy:ornate_flesh 10001
biomancy:ornate_flesh_slab 10002
biomancy:packed_flesh 9990
biomancy:packed_flesh_slab 9993
biomancy:packed_flesh_stairs 9991
biomancy:packed_flesh_wall 9992
biomancy:porous_primal_flesh 10011
biomancy:porous_primal_flesh_slab 10013
biomancy:porous_primal_flesh_stairs 10012
biomancy:porous_primal_flesh_wall 10014
biomancy:primal_bloom 10020
biomancy:primal_flesh 10003
biomancy:primal_flesh_slab 10005
biomancy:primal_flesh_stairs 10004
biomancy:primal_flesh_wall 10006
biomancy:primal_orifice 10022
biomancy:primal_permeable_membrane 10032
biomancy:primal_permeable_membrane_pane 10033
biomancy:primordial_bio_lantern 10037
biomancy:primordial_cradle 9975
biomancy:smooth_primal_flesh 10007
biomancy:smooth_primal_flesh_slab 10009
biomancy:smooth_primal_flesh_stairs 10008
biomancy:smooth_primal_flesh_wall 10010
biomancy:storage_sac 9980
biomancy:tendon_chain 10047
biomancy:tongue 9981
biomancy:tubular_flesh 9998
biomancy:undead_permeable_membrane 10034
biomancy:undead_permeable_membrane_pane 10035
biomancy:vial_holder 10025
biomesoplenty:barley 11250
biomesoplenty:black_sand 10966
biomesoplenty:black_sandstone 10967
biomesoplenty:black_sandstone_slab 10969
biomesoplenty:black_sandstone_stairs 10968
biomesoplenty:black_sandstone_wall 10970
biomesoplenty:blackstone_bulb 10995
biomesoplenty:blackstone_spines 10994
biomesoplenty:blood 10942
biomesoplenty:blue_hydrangea 11227
biomesoplenty:bramble 11255
biomesoplenty:bramble_leaves 11256
biomesoplenty:brimstone 10985
biomesoplenty:brimstone_brick_slab 10988
biomesoplenty:brimstone_brick_stairs 10987
biomesoplenty:brimstone_brick_wall 10989
biomesoplenty:brimstone_bricks 10986
biomesoplenty:brimstone_bud 10993
biomesoplenty:brimstone_cluster 10992
biomesoplenty:brimstone_fumarole 10991
biomesoplenty:burning_blossom 11238
biomesoplenty:bush 11240
biomesoplenty:cattail 11252
biomesoplenty:chiseled_black_sandstone 10976
biomesoplenty:chiseled_brimstone_bricks 10990
biomesoplenty:chiseled_orange_sandstone 10964
biomesoplenty:chiseled_white_sandstone 10953
biomesoplenty:clover 11243
biomesoplenty:cut_black_sandstone 10974
biomesoplenty:cut_black_sandstone_slab 10975
biomesoplenty:cut_orange_sandstone 10962
biomesoplenty:cut_orange_sandstone_slab 10963
biomesoplenty:cut_white_sandstone 10951
biomesoplenty:cut_white_sandstone_slab 10952
biomesoplenty:dead_branch 11147
biomesoplenty:dead_button 11161
biomesoplenty:dead_door 11158
biomesoplenty:dead_fence 11156
biomesoplenty:dead_fence_gate 11157
biomesoplenty:dead_grass 11248
biomesoplenty:dead_hanging_sign 11164
biomesoplenty:dead_leaves 11148
biomesoplenty:dead_log 11149
biomesoplenty:dead_planks 11153
biomesoplenty:dead_pressure_plate 11160
biomesoplenty:dead_sapling 11146
biomesoplenty:dead_sign 11162
biomesoplenty:dead_slab 11155
biomesoplenty:dead_stairs 11154
biomesoplenty:dead_trapdoor 11159
biomesoplenty:dead_wall_hanging_sign 11165
biomesoplenty:dead_wall_sign 11163
biomesoplenty:dead_wood 11150
biomesoplenty:desert_grass 11247
biomesoplenty:dried_salt 10977
biomesoplenty:dune_grass 11246
biomesoplenty:eyebulb 10982
biomesoplenty:fir_button 11043
biomesoplenty:fir_door 11040
biomesoplenty:fir_fence 11038
biomesoplenty:fir_fence_gate 11039
biomesoplenty:fir_hanging_sign 11046
biomesoplenty:fir_leaves 11030
biomesoplenty:fir_log 11031
biomesoplenty:fir_planks 11035
biomesoplenty:fir_pressure_plate 11042
biomesoplenty:fir_sapling 11029
biomesoplenty:fir_sign 11044
biomesoplenty:fir_slab 11037
biomesoplenty:fir_stairs 11036
biomesoplenty:fir_trapdoor 11041
biomesoplenty:fir_wall_hanging_sign 11047
biomesoplenty:fir_wall_sign 11045
biomesoplenty:fir_wood 11032
biomesoplenty:flesh 10978
biomesoplenty:flesh_tendons 10980
biomesoplenty:flesh_tendons_strand 10981
biomesoplenty:flowering_oak_leaves 11018
biomesoplenty:flowering_oak_sapling 11017
biomesoplenty:glowflower 11236
biomesoplenty:glowing_moss_block 11005
biomesoplenty:glowing_moss_carpet 11006
biomesoplenty:glowshroom 11003
biomesoplenty:glowshroom_block 11004
biomesoplenty:glowworm_silk 11007
biomesoplenty:glowworm_silk_strand 11008
biomesoplenty:goldenrod 11229
biomesoplenty:hair 10983
biomesoplenty:hanging_cobweb 11010
biomesoplenty:hanging_cobweb_strand 11011
biomesoplenty:hellbark_button 11218
biomesoplenty:hellbark_door 11215
biomesoplenty:hellbark_fence 11213
biomesoplenty:hellbark_fence_gate 11214
biomesoplenty:hellbark_hanging_sign 11221
biomesoplenty:hellbark_leaves 11205
biomesoplenty:hellbark_log 11206
biomesoplenty:hellbark_planks 11210
biomesoplenty:hellbark_pressure_plate 11217
biomesoplenty:hellbark_sapling 11204
biomesoplenty:hellbark_sign 11219
biomesoplenty:hellbark_slab 11212
biomesoplenty:hellbark_stairs 11211
biomesoplenty:hellbark_trapdoor 11216
biomesoplenty:hellbark_wall_hanging_sign 11222
biomesoplenty:hellbark_wall_sign 11220
biomesoplenty:hellbark_wood 11207
biomesoplenty:high_grass 11241
biomesoplenty:high_grass_plant 11242
biomesoplenty:huge_clover_petal 11244
biomesoplenty:huge_lily_pad 11245
biomesoplenty:icy_iris 11235
biomesoplenty:jacaranda_button 11100
biomesoplenty:jacaranda_door 11097
biomesoplenty:jacaranda_fence 11095
biomesoplenty:jacaranda_fence_gate 11096
biomesoplenty:jacaranda_hanging_sign 11103
biomesoplenty:jacaranda_leaves 11087
biomesoplenty:jacaranda_log 11088
biomesoplenty:jacaranda_planks 11092
biomesoplenty:jacaranda_pressure_plate 11099
biomesoplenty:jacaranda_sapling 11086
biomesoplenty:jacaranda_sign 11101
biomesoplenty:jacaranda_slab 11094
biomesoplenty:jacaranda_stairs 11093
biomesoplenty:jacaranda_trapdoor 11098
biomesoplenty:jacaranda_wall_hanging_sign 11104
biomesoplenty:jacaranda_wall_sign 11102
biomesoplenty:jacaranda_wood 11089
biomesoplenty:large_rose_quartz_bud 10998
biomesoplenty:lavender 11225
biomesoplenty:magic_button 11180
biomesoplenty:magic_door 11177
biomesoplenty:magic_fence 11175
biomesoplenty:magic_fence_gate 11176
biomesoplenty:magic_hanging_sign 11183
biomesoplenty:magic_leaves 11167
biomesoplenty:magic_log 11168
biomesoplenty:magic_planks 11172
biomesoplenty:magic_pressure_plate 11179
biomesoplenty:magic_sapling 11166
biomesoplenty:magic_sign 11181
biomesoplenty:magic_slab 11174
biomesoplenty:magic_stairs 11173
biomesoplenty:magic_trapdoor 11178
biomesoplenty:magic_wall_hanging_sign 11184
biomesoplenty:magic_wall_sign 11182
biomesoplenty:magic_wood 11169
biomesoplenty:mahogany_button 11081
biomesoplenty:mahogany_door 11078
biomesoplenty:mahogany_fence 11076
biomesoplenty:mahogany_fence_gate 11077
biomesoplenty:mahogany_hanging_sign 11084
biomesoplenty:mahogany_leaves 11068
biomesoplenty:mahogany_log 11069
biomesoplenty:mahogany_planks 11073
biomesoplenty:mahogany_pressure_plate 11080
biomesoplenty:mahogany_sapling 11067
biomesoplenty:mahogany_sign 11082
biomesoplenty:mahogany_slab 11075
biomesoplenty:mahogany_stairs 11074
biomesoplenty:mahogany_trapdoor 11079
biomesoplenty:mahogany_wall_hanging_sign 11085
biomesoplenty:mahogany_wall_sign 11083
biomesoplenty:mahogany_wood 11070
biomesoplenty:maple_leaves 11028
biomesoplenty:maple_sapling 11027
biomesoplenty:medium_rose_quartz_bud 10999
biomesoplenty:mossy_black_sand 10965
biomesoplenty:orange_autumn_leaves 11026
biomesoplenty:orange_autumn_sapling 11025
biomesoplenty:orange_cosmos 11230
biomesoplenty:orange_sand 10954
biomesoplenty:orange_sandstone 10955
biomesoplenty:orange_sandstone_slab 10957
biomesoplenty:orange_sandstone_stairs 10956
biomesoplenty:orange_sandstone_wall 10958
biomesoplenty:origin_grass_block 11014
biomesoplenty:origin_leaves 11016
biomesoplenty:origin_sapling 11015
biomesoplenty:palm_button 11119
biomesoplenty:palm_door 11116
biomesoplenty:palm_fence 11114
biomesoplenty:palm_fence_gate 11115
biomesoplenty:palm_hanging_sign 11122
biomesoplenty:palm_leaves 11106
biomesoplenty:palm_log 11107
biomesoplenty:palm_planks 11111
biomesoplenty:palm_pressure_plate 11118
biomesoplenty:palm_sapling 11105
biomesoplenty:palm_sign 11120
biomesoplenty:palm_slab 11113
biomesoplenty:palm_stairs 11112
biomesoplenty:palm_trapdoor 11117
biomesoplenty:palm_wall_hanging_sign 11123
biomesoplenty:palm_wall_sign 11121
biomesoplenty:palm_wood 11108
biomesoplenty:pink_daffodil 11231
biomesoplenty:pink_hibiscus 11232
biomesoplenty:porous_flesh 10979
biomesoplenty:potted_burning_blossom 11283
biomesoplenty:potted_dead_sapling 11270
biomesoplenty:potted_fir_sapling 11264
biomesoplenty:potted_flowering_oak_sapling 11258
biomesoplenty:potted_glowflower 11281
biomesoplenty:potted_glowshroom 11286
biomesoplenty:potted_hellbark_sapling 11273
biomesoplenty:potted_jacaranda_sapling 11267
biomesoplenty:potted_lavender 11276
biomesoplenty:potted_magic_sapling 11271
biomesoplenty:potted_mahogany_sapling 11266
biomesoplenty:potted_maple_sapling 11263
biomesoplenty:potted_orange_autumn_sapling 11262
biomesoplenty:potted_orange_cosmos 11278
biomesoplenty:potted_origin_sapling 11257
biomesoplenty:potted_palm_sapling 11268
biomesoplenty:potted_pink_daffodil 11279
biomesoplenty:potted_pink_hibiscus 11280
biomesoplenty:potted_rainbow_birch_sapling 11260
biomesoplenty:potted_redwood_sapling 11265
biomesoplenty:potted_rose 11274
biomesoplenty:potted_snowblossom_sapling 11259
biomesoplenty:potted_sprout 11284
biomesoplenty:potted_toadstool 11285
biomesoplenty:potted_umbran_sapling 11272
biomesoplenty:potted_violet 11275
biomesoplenty:potted_wildflower 11277
biomesoplenty:potted_willow_sapling 11269
biomesoplenty:potted_wilted_lily 11282
biomesoplenty:potted_yellow_autumn_sapling 11261
biomesoplenty:pus_bubble 10984
biomesoplenty:rainbow_birch_leaves 11022
biomesoplenty:rainbow_birch_sapling 11021
biomesoplenty:redwood_button 11062
biomesoplenty:redwood_door 11059
biomesoplenty:redwood_fence 11057
biomesoplenty:redwood_fence_gate 11058
biomesoplenty:redwood_hanging_sign 11065
biomesoplenty:redwood_leaves 11049
biomesoplenty:redwood_log 11050
biomesoplenty:redwood_planks 11054
biomesoplenty:redwood_pressure_plate 11061
biomesoplenty:redwood_sapling 11048
biomesoplenty:redwood_sign 11063
biomesoplenty:redwood_slab 11056
biomesoplenty:redwood_stairs 11055
biomesoplenty:redwood_trapdoor 11060
biomesoplenty:redwood_wall_hanging_sign 11066
biomesoplenty:redwood_wall_sign 11064
biomesoplenty:redwood_wood 11051
biomesoplenty:reed 11253
biomesoplenty:rose 11223
biomesoplenty:rose_quartz_block 10996
biomesoplenty:rose_quartz_cluster 10997
biomesoplenty:sea_oats 11251
biomesoplenty:small_rose_quartz_bud 11000
biomesoplenty:smooth_black_sandstone 10971
biomesoplenty:smooth_black_sandstone_slab 10973
biomesoplenty:smooth_black_sandstone_stairs 10972
biomesoplenty:smooth_orange_sandstone 10959
biomesoplenty:smooth_orange_sandstone_slab 10961
biomesoplenty:smooth_orange_sandstone_stairs 10960
biomesoplenty:smooth_white_sandstone 10948
biomesoplenty:smooth_white_sandstone_slab 10950
biomesoplenty:smooth_white_sandstone_stairs 10949
biomesoplenty:snowblossom_leaves 11020
biomesoplenty:snowblossom_sapling 11019
biomesoplenty:spanish_moss 11126
biomesoplenty:spanish_moss_plant 11127
biomesoplenty:spider_egg 11009
biomesoplenty:sprout 11239
biomesoplenty:stringy_cobweb 11012
biomesoplenty:stripped_dead_log 11151
biomesoplenty:stripped_dead_wood 11152
biomesoplenty:stripped_fir_log 11033
biomesoplenty:stripped_fir_wood 11034
biomesoplenty:stripped_hellbark_log 11208
biomesoplenty:stripped_hellbark_wood 11209
biomesoplenty:stripped_jacaranda_log 11090
biomesoplenty:stripped_jacaranda_wood 11091
biomesoplenty:stripped_magic_log 11170
biomesoplenty:stripped_magic_wood 11171
biomesoplenty:stripped_mahogany_log 11071
biomesoplenty:stripped_mahogany_wood 11072
biomesoplenty:stripped_palm_log 11109
biomesoplenty:stripped_palm_wood 11110
biomesoplenty:stripped_redwood_log 11052
biomesoplenty:stripped_redwood_wood 11053
biomesoplenty:stripped_umbran_log 11189
biomesoplenty:stripped_umbran_wood 11190
biomesoplenty:stripped_willow_log 11131
biomesoplenty:stripped_willow_wood 11132
biomesoplenty:tall_lavender 11226
biomesoplenty:toadstool 11001
biomesoplenty:toadstool_block 11002
biomesoplenty:tundra_shrub 11249
biomesoplenty:umbran_button 11199
biomesoplenty:umbran_door 11196
biomesoplenty:umbran_fence 11194
biomesoplenty:umbran_fence_gate 11195
