# Fluid registry dump
# Minecraft: 1.20.1
# Entries: 369
# Generated: 2026-02-05T20:54:22.2841844-03:00

thermal:tree_oil 151
thermal:tree_oil_flowing 152
thermal_extra:abyssal 67
thermal_extra:abyssal_flowing 68
thermal_extra:crystallized_sunflower_oil 71
thermal_extra:crystallized_sunflower_oil_flowing 72
thermal_extra:diesel 77
thermal_extra:diesel_flowing 78
thermal_extra:dragonsteel 65
thermal_extra:dragonsteel_flowing 66
thermal_extra:flux_infused_oil 75
thermal_extra:flux_infused_oil_flowing 76
thermal_extra:polyolefin 79
thermal_extra:polyolefin_flowing 80
thermal_extra:raw_aluminum 81
thermal_extra:raw_aluminum_flowing 82
thermal_extra:raw_arcane_gold 83
thermal_extra:raw_arcane_gold_flowing 84
thermal_extra:raw_copper 85
thermal_extra:raw_copper_flowing 86
thermal_extra:raw_gold 87
thermal_extra:raw_gold_flowing 88
thermal_extra:raw_iron 89
thermal_extra:raw_iron_flowing 90
thermal_extra:raw_lead 91
thermal_extra:raw_lead_flowing 92
thermal_extra:raw_nickel 93
thermal_extra:raw_nickel_flowing 94
thermal_extra:raw_osmium 95
thermal_extra:raw_osmium_flowing 96
thermal_extra:raw_silver 97
thermal_extra:raw_silver_flowing 98
thermal_extra:raw_tin 99
thermal_extra:raw_tin_flowing 100
thermal_extra:raw_uranium 101
thermal_extra:raw_uranium_flowing 102
thermal_extra:raw_zinc 103
thermal_extra:raw_zinc_flowing 104
thermal_extra:refined_sunflower_oil 73
thermal_extra:refined_sunflower_oil_flowing 74
thermal_extra:shellite 61
thermal_extra:shellite_flowing 62
thermal_extra:soul_infused 59
thermal_extra:soul_infused_flowing 60
thermal_extra:sunflower_oil 69
thermal_extra:sunflower_oil_flowing 70
thermal_extra:twinite 63
thermal_extra:twinite_flowing 64
tmted:apple_cider 53
tmted:flowing_apple_cider 54
tmted:flowing_melon_juice 50
tmted:flowing_milk 56
tmted:flowing_tomato_sauce 52
tmted:melon_juice 49
tmted:milk 55
tmted:tomato_sauce 51
